Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
Group,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,3,3,4,4
1798.78,0.001639,0.001865,0.001159,0.002344,0.003611,0.001676,0.001825,0.001156,0.001537,0.001634,0.001844,0.002714,0.00463,0.002369,0.002319,0.0009267,0.004341,0.003274,0.002405,0.0009026,0.001579,0.001279,0.001359,0.001468,0.0005951,0.001423,0.002974,0.003661,0.003852,0.001917,0.003125,0.002287,0.001244,0.001346,0.0008591,0.002678,0.0007579,0.002123,0.002588,0.0008888,0.001442,0.002186,0.001781,0.001313,0.001158,0.001586,0.002508,0.0007989,0.001028,0.0009693,0.0009574,0.002863,0.002276,0.001336,0.00166,0.0009559,0.001828,0.003841,0.001626,0.00154,0.001083,0.001851,0.001481,0.001429,0.002372,0.0008783,0.001945,0.002291,0.001333,0.001575,0.003106,0.001545,0.000623,0.0004418,0.001213,0.001192,0.0008891,0.0007742,0.002189,0.002209,0.0008622,0.0004933,0.003006,0.001895,0.001433,0.0004367,0.001518,0.001479,0.001864,0.001383,0.00414,0.0003933,0.001315,0.001559,0.001211,0.002342,0.001224,0.001132,0.00157,0.001887,0.003276,0.000433,0.001131,0.000556,0.001747,0.0002897,0.001175,0.001094
1797.32,0.002506,0.002251,0.00152,0.002087,0.003527,0.002172,0.002387,0.001327,0.001636,0.002345,0.001761,0.003282,0.005256,0.002598,0.002904,0.001263,0.004941,0.003168,0.002498,0.001068,0.001513,0.001374,0.001835,0.001536,0.0006392,0.000964,0.002789,0.003236,0.003669,0.002316,0.002723,0.003165,0.001647,0.001991,0.001199,0.002786,0.001437,0.00213,0.002549,0.001346,0.001312,0.002918,0.001813,0.001124,0.00117,0.002203,0.002613,0.0009658,0.001169,0.0008586,0.0007507,0.002955,0.002665,0.00156,0.001229,0.0008654,0.001744,0.003777,0.001822,0.001978,0.00125,0.001974,0.001326,0.001467,0.00205,0.0007742,0.001805,0.002163,0.001478,0.001927,0.003407,0.00184,0.0006086,0.0006499,0.001397,0.001509,0.001095,0.0006079,0.002071,0.002564,0.0008788,0.0007383,0.002756,0.001958,0.001382,0.0003112,0.001386,0.001518,0.001698,0.001164,0.003588,0.0009568,0.001222,0.001653,0.00124,0.002038,0.001195,0.001093,0.00171,0.002432,0.003013,0.00101,0.001263,0.0006543,0.002122,0.000322,0.001352,0.001702
1795.85,0.003768,0.00382,0.00262,0.002052,0.003618,0.002625,0.002799,0.001234,0.001958,0.003614,0.001799,0.003816,0.00693,0.003003,0.00292,0.001878,0.005384,0.003594,0.002161,0.001096,0.001815,0.001399,0.001756,0.001945,0.0007123,0.001995,0.00335,0.002925,0.003626,0.002488,0.002159,0.003326,0.001933,0.002898,0.001622,0.00319,0.001971,0.002431,0.002865,0.001618,0.001324,0.003794,0.001809,0.001569,0.001163,0.002998,0.002712,0.002105,0.001787,0.0006544,0.001018,0.002692,0.00284,0.002092,0.001471,0.0008767,0.001341,0.004328,0.002547,0.002469,0.001449,0.002149,0.001223,0.001595,0.002034,0.0007646,0.001839,0.002321,0.001873,0.001986,0.003693,0.002015,0.0007411,0.0007951,0.001926,0.001386,0.001128,0.000871,0.001974,0.00374,0.001062,0.0009911,0.002535,0.002033,0.001742,0.0007884,0.00181,0.001464,0.001545,0.0009132,0.003479,0.001126,0.001036,0.001987,0.001142,0.001596,0.0009304,0.0009224,0.001688,0.00308,0.002996,0.001416,0.001577,0.000918,0.002635,0.0007544,0.001335,0.002268
1794.39,0.005384,0.00524,0.003636,0.003026,0.004178,0.002666,0.003445,0.001266,0.002639,0.003727,0.001683,0.004476,0.008417,0.003109,0.00325,0.003413,0.005865,0.004179,0.002453,0.001158,0.002361,0.001028,0.002341,0.002201,0.0008883,0.002711,0.003954,0.002973,0.003537,0.003251,0.001928,0.003494,0.002065,0.004056,0.002199,0.003897,0.002404,0.003506,0.002816,0.001881,0.0008384,0.00483,0.001299,0.002034,0.001332,0.003273,0.002963,0.002646,0.002242,0.0007084,0.001098,0.002442,0.002469,0.002408,0.001334,0.0009528,0.0007563,0.005066,0.003056,0.002774,0.001998,0.001971,0.001158,0.001623,0.00235,0.001207,0.001812,0.002571,0.001834,0.002305,0.00458,0.00207,0.000702,0.001571,0.002326,0.001653,0.001423,0.001098,0.001998,0.003973,0.001616,0.001125,0.0026,0.002374,0.001903,0.001171,0.002277,0.002013,0.001586,0.0007211,0.002954,0.001449,0.0007379,0.002387,0.001403,0.001744,0.0009057,0.001105,0.001693,0.003283,0.00347,0.001561,0.002329,0.00136,0.003953,0.001085,0.0015,0.002538
1792.93,0.006572,0.006426,0.004088,0.003153,0.004646,0.003203,0.003727,0.001556,0.002679,0.004067,0.001786,0.004982,0.009565,0.003283,0.004487,0.004433,0.007072,0.004316,0.002804,0.001239,0.002241,0.001165,0.002601,0.002078,0.0009141,0.003256,0.004557,0.00309,0.004031,0.004032,0.001756,0.004012,0.002412,0.004827,0.002589,0.004042,0.002911,0.004008,0.003576,0.002752,0.0008139,0.005174,0.001138,0.002283,0.001393,0.004025,0.002735,0.002916,0.002402,0.0007769,0.001467,0.002537,0.002594,0.002679,0.001494,0.00105,0.0008434,0.00606,0.003805,0.003145,0.002551,0.002508,0.001212,0.001958,0.002185,0.001275,0.001913,0.002739,0.00226,0.002425,0.004987,0.002304,0.0008796,0.002254,0.002504,0.001857,0.001909,0.001111,0.001876,0.003942,0.002014,0.001611,0.002801,0.002427,0.001899,0.001277,0.002523,0.002376,0.001535,0.0007842,0.002992,0.001889,0.0008275,0.00239,0.001684,0.001474,0.0009382,0.001526,0.001766,0.003574,0.003675,0.00191,0.002836,0.001946,0.004358,0.001353,0.001648,0.002943
1791.46,0.007219,0.006859,0.005177,0.002887,0.00446,0.004078,0.004069,0.001651,0.003129,0.004536,0.001355,0.004883,0.009835,0.003095,0.005042,0.00517,0.007899,0.004275,0.002536,0.00205,0.002661,0.001198,0.003068,0.002483,0.0008981,0.004641,0.004528,0.002762,0.004641,0.005048,0.001379,0.004858,0.002349,0.00513,0.002848,0.004406,0.003464,0.004136,0.003702,0.003286,0.000763,0.005898,0.0009947,0.002692,0.001525,0.004739,0.003075,0.002997,0.002368,0.0006103,0.00164,0.002539,0.002799,0.002848,0.001808,0.001694,0.001167,0.00568,0.004309,0.003063,0.002695,0.002791,0.00132,0.002292,0.002484,0.001646,0.001923,0.002621,0.002816,0.002803,0.004954,0.002689,0.00096,0.002609,0.002642,0.002247,0.002448,0.001024,0.001484,0.004413,0.002191,0.001996,0.002179,0.002085,0.001786,0.001241,0.00311,0.002423,0.00162,0.0008347,0.003354,0.002122,0.001117,0.002454,0.001756,0.001413,0.001022,0.001473,0.002304,0.003834,0.003724,0.002223,0.003477,0.00253,0.004753,0.001625,0.00192,0.003153
1790,0.007501,0.007029,0.005764,0.0027,0.004752,0.005187,0.004408,0.00183,0.00338,0.004629,0.00127,0.005387,0.01031,0.004253,0.005763,0.00592,0.008799,0.004684,0.002755,0.003144,0.00281,0.001689,0.003386,0.002746,0.001011,0.00594,0.005416,0.00262,0.005479,0.005654,0.001731,0.005914,0.002619,0.004967,0.003033,0.004126,0.003664,0.004197,0.004209,0.003851,0.000964,0.0062,0.001215,0.003234,0.001615,0.005599,0.002855,0.003023,0.002223,0.0007295,0.001678,0.0029,0.003071,0.002982,0.001866,0.002188,0.001768,0.005503,0.004837,0.003384,0.003295,0.003573,0.001502,0.002724,0.002217,0.001608,0.001943,0.002742,0.003426,0.003075,0.005537,0.00375,0.001068,0.002679,0.002742,0.002614,0.002809,0.0009549,0.001595,0.004515,0.002397,0.002405,0.00192,0.001857,0.002009,0.001292,0.003261,0.002227,0.002101,0.001713,0.003696,0.002433,0.001791,0.002194,0.001897,0.001469,0.0009396,0.001646,0.002725,0.003739,0.00407,0.002469,0.004174,0.002981,0.0047,0.001962,0.001885,0.003346
1788.54,0.00808,0.007639,0.006251,0.003243,0.005579,0.005731,0.005075,0.001947,0.003544,0.004667,0.001398,0.005932,0.01056,0.005738,0.006037,0.006485,0.009102,0.005005,0.003254,0.003891,0.002975,0.001936,0.003661,0.003056,0.00127,0.006763,0.006211,0.003013,0.006201,0.00651,0.002829,0.007016,0.00259,0.005227,0.002892,0.004184,0.003838,0.004877,0.004193,0.004306,0.001022,0.006372,0.001356,0.003418,0.00178,0.005541,0.002937,0.003246,0.001937,0.0008712,0.001552,0.003217,0.002902,0.002939,0.001875,0.002951,0.002242,0.005374,0.004827,0.003303,0.003623,0.003782,0.001567,0.002792,0.002364,0.002047,0.001841,0.002963,0.003625,0.003815,0.00642,0.004691,0.001119,0.00286,0.002802,0.003076,0.003026,0.001121,0.002185,0.003776,0.00268,0.00244,0.002321,0.001757,0.00218,0.00141,0.003471,0.002586,0.002754,0.002406,0.003478,0.002835,0.002252,0.002114,0.00237,0.002023,0.0008414,0.001857,0.00311,0.003034,0.004758,0.002794,0.005559,0.003696,0.004701,0.002584,0.002052,0.002999
1787.07,0.008744,0.00874,0.006195,0.003809,0.006,0.006132,0.005632,0.002107,0.003676,0.005297,0.001567,0.006328,0.01096,0.006618,0.005543,0.006695,0.009654,0.006032,0.003274,0.004186,0.003208,0.002264,0.003726,0.00323,0.00163,0.008245,0.007347,0.003479,0.006717,0.007045,0.004051,0.007779,0.002631,0.005416,0.002729,0.004292,0.00398,0.005119,0.004918,0.004921,0.001557,0.006251,0.001696,0.003793,0.001827,0.005733,0.003133,0.003733,0.001775,0.0008594,0.001713,0.003068,0.002887,0.00312,0.002361,0.003724,0.002411,0.005871,0.005099,0.003032,0.003798,0.003832,0.001895,0.002882,0.002398,0.00241,0.002049,0.003392,0.003512,0.004341,0.007122,0.005533,0.001435,0.002754,0.002851,0.002954,0.003009,0.001459,0.002375,0.003698,0.002883,0.002239,0.002753,0.002016,0.002742,0.001679,0.003546,0.002783,0.003489,0.002775,0.003758,0.003117,0.002593,0.002344,0.002604,0.002127,0.001096,0.001766,0.003169,0.002931,0.005475,0.003163,0.006307,0.004073,0.004445,0.00333,0.002108,0.002555
